Name	known	gene_id	n_ss	rank	rt_gene	annot_transcript_id_x	transcript_novelty	gene_novelty	n_genes	gene_ids	n_genes_no_rt	gene_ids_no_rt	annot_transcript_id_y	n_total_ss	filt_df	gid	needs to be fixed
TALONT000930071	TRUE	ENSG00000116783	41	2	FALSE	TALONT000930071	NIC	Known	2	"ENSG00000259030,ENSG00000116783"	1	ENSG00000116783	TALONT000930071	42	97.61904762	ENSG00000259030	needs fixing
TALONT000303567	TRUE	ENSG00000243708	37	2	FALSE	TALONT000303567	ISM	Known	2	"ENSG00000168970,ENSG00000243708"	1	ENSG00000243708	TALONT000303567	38	97.36842105	ENSG00000168970	needs fixing
TALONT001372970	TRUE	ENSG00000205560	36	2	FALSE	TALONT001372970	ISM	Known	2	"ENSG00000254413,ENSG00000205560"	1	ENSG00000205560	TALONT001372970	38	94.73684211	ENSG00000254413	
TALONT000930083	TRUE	ENSG00000116783	36	1	FALSE	TALONT000930083	ISM	Known	2	"ENSG00000116783,ENSG00000259030"	1	ENSG00000116783	TALONT000930083	36	100	ENSG00000259030	needs fixing
TALONT001699259	TRUE	ENSG00000116783	34	1	FALSE	TALONT001699259	NIC	Known	2	"ENSG00000116783,ENSG00000259030"	1	ENSG00000116783	TALONT001699259	34	100	ENSG00000259030	
TALONT000930061	TRUE	ENSG00000116783	34	1	FALSE	TALONT000930061	NIC	Known	2	"ENSG00000116783,ENSG00000259030"	1	ENSG00000116783	TALONT000930061	34	100	ENSG00000259030	
TALONT001699272	TRUE	ENSG00000116783	33	1	FALSE	TALONT001699272	NIC	Known	2	"ENSG00000116783,ENSG00000259030"	1	ENSG00000116783	TALONT001699272	34	97.05882353	ENSG00000259030	
TALONT000550296	TRUE	ENSG00000188603	28	1	FALSE	TALONT000550296	NIC	Known	2	"ENSG00000188603,ENSG00000261832"	1	ENSG00000188603	TALONT000550296	28	100	ENSG00000261832	
TALONT001223369	TRUE	ENSG00000130234	28	1	FALSE	TALONT001223369	ISM	Known	2	"ENSG00000130234,ENSG00000285602"	1	ENSG00000130234	TALONT001223369	28	100	ENSG00000285602	
TALONT001652026	TRUE	ENSG00000106069	28	1	FALSE	TALONT001652026	NIC	Known	2	"ENSG00000106069,ENSG00000285162"	1	ENSG00000106069	TALONT001652026	28	100	ENSG00000285162	
TALONT001652032	TRUE	ENSG00000106069	28	1	FALSE	TALONT001652032	NIC	Known	2	"ENSG00000106069,ENSG00000285162"	1	ENSG00000106069	TALONT001652032	30	93.33333333	ENSG00000285162	does not need fixing
TALONT000989251	TRUE	ENSG00000215837	27	2	FALSE	TALONT000989251	NIC	Known	2	"ENSG00000242086,ENSG00000215837"	1	ENSG00000215837	TALONT000989251	28	96.42857143	ENSG00000242086	this locus is a lost cause but also looks pretty ok
TALONT000410848	TRUE	ENSG00000263155	26	1	FALSE	TALONT000410848	NIC	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000410848	26	100	ENSG00000137878	
TALONT000989737	TRUE	ENSG00000215837	26	2	FALSE	TALONT000989737	NIC	Known	2	"ENSG00000215837,ENSG00000242086"	1	ENSG00000215837	TALONT000989737	26	100	ENSG00000242086	
TALONT000408157	TRUE	ENSG00000263155	26	1	FALSE	TALONT000408157	NIC	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000408157	26	100	ENSG00000137878	
TALONT000410780	TRUE	ENSG00000263155	24	1	FALSE	TALONT000410780	ISM	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000410780	24	100	ENSG00000137878	
TALONT001107144	TRUE	ENSG00000215440	24	1	FALSE	TALONT001107144	ISM	Known	2	"ENSG00000215440,ENSG00000254995"	1	ENSG00000215440	TALONT001107144	24	100	ENSG00000254995	
TALONT001313613	TRUE	ENSG00000263155	23	2	FALSE	TALONT001313613	NNC	Known	2	"ENSG00000137878,ENSG00000263155"	1	ENSG00000263155	TALONT001313613	24	95.83333333	ENSG00000137878	
TALONT000983329	TRUE	ENSG00000156875	22	2	FALSE	TALONT000983329	ISM	Known	2	"ENSG00000283761,ENSG00000156875"	1	ENSG00000156875	TALONT000983329	24	91.66666667	ENSG00000283761	
TALONT000553908	TRUE	ENSG00000239900	22	1	FALSE	TALONT000553908	ISM	Known	2	"ENSG00000239900,ENSG00000284431"	1	ENSG00000239900	TALONT000553908	22	100	ENSG00000284431	needs fixing
TALONT000408465	TRUE	ENSG00000263155	22	1	FALSE	TALONT000408465	NIC	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000408465	22	100	ENSG00000137878	
TALONT000408321	TRUE	ENSG00000263155	22	2	FALSE	TALONT000408321	NIC	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000408321	22	100	ENSG00000137878	
TALONT000408133	TRUE	ENSG00000263155	22	2	FALSE	TALONT000408133	ISM	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000408133	22	100	ENSG00000137878	
TALONT000408184	TRUE	ENSG00000263155	22	2	FALSE	TALONT000408184	NIC	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000408184	22	100	ENSG00000137878	
TALONT002262246	TRUE	ENSG00000234231	22	2	FALSE	TALONT002262246	ISM	Known	2	"ENSG00000284879,ENSG00000234231"	1	ENSG00000234231	TALONT002262246	24	91.66666667	ENSG00000284879	
TALONT000410905	TRUE	ENSG00000263155	22	2	FALSE	TALONT000410905	ISM	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000410905	22	100	ENSG00000137878	yes
TALONT001107245	TRUE	ENSG00000215440	22	2	FALSE	TALONT001107245	ISM	Known	2	"ENSG00000215440,ENSG00000254995"	1	ENSG00000215440	TALONT001107245	22	100	ENSG00000254995	
TALONT000271619	TRUE	ENSG00000083454	22	2	FALSE	TALONT000271619	ISM	Known	2	"ENSG00000083454,ENSG00000257950"	1	ENSG00000083454	TALONT000271619	22	100	ENSG00000257950	
TALONT002262242	TRUE	ENSG00000234231	21	2	FALSE	TALONT002262242	ISM	Known	2	"ENSG00000284879,ENSG00000234231"	1	ENSG00000234231	TALONT002262242	24	87.5	ENSG00000284879	needs fixing
TALONT002452026	TRUE	ENSG00000156875	21	1	FALSE	TALONT002452026	ISM	Known	2	"ENSG00000156875,ENSG00000283761"	1	ENSG00000156875	TALONT002452026	22	95.45454545	ENSG00000283761	
TALONT001914882	TRUE	ENSG00000092529	20	1	FALSE	TALONT001914882	ISM	Known	2	"ENSG00000092529,ENSG00000258461"	1	ENSG00000092529	TALONT001914882	20	100	ENSG00000258461	
TALONT000983339	TRUE	ENSG00000156875	20	1	FALSE	TALONT000983339	NIC	Known	2	"ENSG00000156875,ENSG00000283761"	1	ENSG00000156875	TALONT000983339	20	100	ENSG00000283761	
TALONT000410916	TRUE	ENSG00000263155	20	2	FALSE	TALONT000410916	ISM	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000410916	20	100	ENSG00000137878	
TALONT000410797	TRUE	ENSG00000263155	19	2	FALSE	TALONT000410797	NIC	Known	2	"ENSG00000137878,ENSG00000263155"	1	ENSG00000263155	TALONT000410797	20	95	ENSG00000137878	
TALONT000637494	TRUE	ENSG00000156873	18	1	FALSE	TALONT000637494	ISM	Known	2	"ENSG00000156873,ENSG00000260899"	1	ENSG00000156873	TALONT000637494	18	100	ENSG00000260899	
TALONT000643354	TRUE	ENSG00000100288	18	1	FALSE	TALONT000643354	ISM	Known	2	"ENSG00000100288,ENSG00000254413"	1	ENSG00000100288	TALONT000643354	18	100	ENSG00000254413	
TALONT000643313	TRUE	ENSG00000100288	18	1	FALSE	TALONT000643313	ISM	Known	2	"ENSG00000100288,ENSG00000254413"	1	ENSG00000100288	TALONT000643313	18	100	ENSG00000254413	
TALONT000466190	TRUE	ENSG00000213928	18	1	FALSE	TALONT000466190	ISM	Known	2	"ENSG00000213928,ENSG00000259529"	1	ENSG00000213928	TALONT000466190	18	100	ENSG00000259529	
TALONT000410927	TRUE	ENSG00000263155	18	1	FALSE	TALONT000410927	ISM	Known	2	"ENSG00000263155,ENSG00000137878"	1	ENSG00000263155	TALONT000410927	18	100	ENSG00000137878	
TALONT000948748	TRUE	ENSG00000254772	17	2	FALSE	TALONT000948748	ISM	Known	2	"ENSG00000255508,ENSG00000254772"	1	ENSG00000254772	TALONT000948748	18	94.44444444	ENSG00000255508	does not need fixing
TALONT000410934	TRUE	ENSG00000263155	16	1	FALSE	TALONT000410934	ISM	Known	2	"ENSG00000137878,ENSG00000263155"	1	ENSG00000263155	TALONT000410934	16	100	ENSG00000137878	
TALONT000637792	TRUE	ENSG00000156873	16	1	FALSE	TALONT000637792	ISM	Known	2	"ENSG00000156873,ENSG00000260899"	1	ENSG00000156873	TALONT000637792	16	100	ENSG00000260899	
TALONT000637511	TRUE	ENSG00000156873	16	1	FALSE	TALONT000637511	ISM	Known	2	"ENSG00000156873,ENSG00000260899"	1	ENSG00000156873	TALONT000637511	16	100	ENSG00000260899	
TALONT000637508	TRUE	ENSG00000156873	16	1	FALSE	TALONT000637508	NIC	Known	2	"ENSG00000156873,ENSG00000260899"	1	ENSG00000156873	TALONT000637508	16	100	ENSG00000260899	
TALONT000638355	TRUE	ENSG00000156873	16	1	FALSE	TALONT000638355	ISM	Known	2	"ENSG00000156873,ENSG00000260899"	1	ENSG00000156873	TALONT000638355	16	100	ENSG00000260899	
TALONT000347527	TRUE	ENSG00000184702	16	1	FALSE	TALONT000347527	NIC	Known	2	"ENSG00000184702,ENSG00000284874"	1	ENSG00000184702	TALONT000347527	16	100	ENSG00000284874	
TALONT000560544	TRUE	ENSG00000095059	16	1	FALSE	TALONT000560544	NIC	Known	2	"ENSG00000095059,ENSG00000285589"	1	ENSG00000095059	TALONT000560544	16	100	ENSG00000285589	
